"CITY","TOT_CONF","TOT_RECOV","TOT_DEATH","LATITUDE","LONGITUDE","TOT_POP"
"Hefei",174,173,1,31.51,117.16,7965000
"Bengbu",160,155,5,32.55345,117.225670,3331000
"Fuyang",155,155,0,32.5320,115.4850,7599913
"Haozhou",108,108,0,33.5042,115.4641,5047000
"Anqing",83,83,0,30.3155,117.0654,4586000
"Liuan",69,69,0,31.4404,116.3117,4741000
"Suzhou",41,41,0,33.3847,116.5750,5541000
"Maanshan",38,38,0,31.4012,118.3022,2262000
"Wuhu",34,34,0,31.2111,118.2559,3696000
"Tongling",29,29,0,30.5644,117.4841,1592000
"Huainan",27,27,0,32.3730,117.0000,3431000
"Huaibei",27,27,0,33.5723,116.4752,2179000
"Chizhou",17,17,0,30.3922,117.2920,1436000
"Chuzhou",13,13,0,32.1513,118.1942,4017000
"Huangshan",9,9,0,29.4253,118.2015,1435000
"Xuancheng",6,6,0,30.5624,118.4529,2592000
"Beijing",436,342,8,39.928819,116.388869,21707000
"Chongqing",576,566,6,29.562778,106.552778,31017900
"Fuzhou",72,71,1,26.090,119.170,7800000
"Putian",56,56,0,25.2711,119.0029,2870000
"Quanzhou",47,47,0,24.5227,118.4033,8700000
"Xiamen",35,35,0,24.2646,118.0404,4290000
"Ningde",26,26,0,26.3957,119.3253,2870000
"Nanping",20,20,0,26.3829,118.1040,2640000
"Zhangzhou",20,20,0,24.3047,117.3847,5000000
"Sanming",14,14,0,26.1547,117.3820,2530000
"Longyan",6,6,0,25.0433,117.0103,2610000
"Shenzhen",420,395,3,22.320,114.050,13438800
"Guangzhou",347,330,1,23.0743662,113.15323136,14904400
"Dongguan",100,96,1,23.0116,113.4506,8254100
"Zhuhai",98,97,1,22.1616,113.3437,1891100
"Foshan",84,78,0,23.0119,113.0715,7430600
"Zhongshan",68,64,0,22.310,113.230,3260000
"Huizhou",62,62,0,23.0643,114.2454,4775000
"Shantou",25,24,0,23.2114,116.4056,5552100
"Jiangmen",23,23,0,22.3552,113.0527,45195000
"Zhanjiang",22,22,0,21.1619,110.2137,7332000
"Zhaoqing",19,18,1,23.0249,112.2754,4151700
"Meizhou",16,16,0,24.1720,116.0719,4340800
"Maoming",14,14,0,21.3946,110.5533,6080800
"Yangjiang",14,14,0,21.5130,111.5854,2511200
"Qingyuan",12,12,0,23.4055,113.0322,3834500
"Shaoguan",10,9,1,24.4839,113.3548,2931500
"Jieyang",8,8,0,23.3255,116.2220,6058900
"Shanwei",5,5,0,22.4710,115.2230,3021600
"Chaozhou",5,5,0,23.40,116.38,2640500
"Heyuan",4,4,0,23.4437,114.4203,3073500
"Lanzhou",36,34,2,36.0340,103.4955,3705500
"Tianshui",12,12,0,34.3434,105.4232,3311700
"Dingxi",9,8,0,35.3459,104.3734,2778300
"Pingliang",9,9,0,35.3238,106.3954,2098000
"Gannanzhou",8,8,0,34.5859,102.5440,705000
"Baiyin",4,4,0,36.3242,104.0817,1709900
"Longnan",4,4,0,33.2404,104.5519,2590900
"Qingyang",3,3,0,35.4420,107.3755,2230500
"Linxia",3,3,0,35.36,103.13,250000
"Zhangye",2,2,0,38.5552,100.2711,1219800
"Jinchang",1,1,0,38.3112,102.1113,470500
"Nanning",55,54,0,22.485796,108.215904,7568700
"Beihai",44,41,1,21.2852,109.0714,1625700
