"","CITY","TOT_CONF","TOT_RECOV","TOT_DEATH","LATITUDE","LONGITUDE","TOT_POP","RATE"
"1","Hefei",174,173,1,31.51,117.16,7965000,2.18455743879473e-05
"2","Bengbu",160,155,5,32.55345,117.22567,3331000,4.80336235364755e-05
"3","Fuyang",155,155,0,32.532,115.485,7599913,2.03949703108443e-05
"4","Haozhou",108,108,0,33.5042,115.4641,5047000,2.13988508024569e-05
"5","Anqing",83,83,0,30.3155,117.0654,4586000,1.8098560837331e-05
"6","Liuan",69,69,0,31.4404,116.3117,4741000,1.4553891584054e-05
"7","Suzhou",41,41,0,33.3847,116.575,5541000,7.39938639234795e-06
"8","Maanshan",38,38,0,31.4012,118.3022,2262000,1.67992926613616e-05
"9","Wuhu",34,34,0,31.2111,118.2559,3696000,9.1991341991342e-06
"10","Tongling",29,29,0,30.5644,117.4841,1592000,1.82160804020101e-05
"11","Huainan",27,27,0,32.373,117,3431000,7.86942582337511e-06
"12","Huaibei",27,27,0,33.5723,116.4752,2179000,1.23910050481872e-05
"13","Chizhou",17,17,0,30.3922,117.292,1436000,1.18384401114206e-05
"14","Chuzhou",13,13,0,32.1513,118.1942,4017000,3.23624595469256e-06
"15","Huangshan",9,9,0,29.4253,118.2015,1435000,6.27177700348432e-06
"16","Xuancheng",6,6,0,30.5624,118.4529,2592000,2.31481481481481e-06
"17","Beijing",436,342,8,39.928819,116.388869,21707000,2.00856866448611e-05
"18","Chongqing",576,566,6,29.562778,106.552778,31017900,1.85699225286044e-05
"19","Fuzhou",72,71,1,26.09,119.17,7800000,9.23076923076923e-06
"20","Putian",56,56,0,25.2711,119.0029,2870000,1.95121951219512e-05
"21","Quanzhou",47,47,0,24.5227,118.4033,8700000,5.40229885057471e-06
"22","Xiamen",35,35,0,24.2646,118.0404,4290000,8.15850815850816e-06
"23","Ningde",26,26,0,26.3957,119.3253,2870000,9.05923344947735e-06
"24","Nanping",20,20,0,26.3829,118.104,2640000,7.57575757575758e-06
"25","Zhangzhou",20,20,0,24.3047,117.3847,5e+06,4e-06
"26","Sanming",14,14,0,26.1547,117.382,2530000,5.53359683794466e-06
"27","Longyan",6,6,0,25.0433,117.0103,2610000,2.29885057471264e-06
"28","Shenzhen",420,395,3,22.32,114.05,13438800,3.12527904277168e-05
"29","Guangzhou",347,330,1,23.0743662,113.15323136,14904400,2.32817154665736e-05
"30","Dongguan",100,96,1,23.0116,113.4506,8254100,1.21151912382937e-05
"31","Zhuhai",98,97,1,22.1616,113.3437,1891100,5.1821691079266e-05
"32","Foshan",84,78,0,23.0119,113.0715,7430600,1.13046052808656e-05
"33","Zhongshan",68,64,0,22.31,113.23,3260000,2.08588957055215e-05
"34","Huizhou",62,62,0,23.0643,114.2454,4775000,1.29842931937173e-05
"35","Shantou",25,24,0,23.2114,116.4056,5552100,4.50280074206156e-06
"36","Jiangmen",23,23,0,22.3552,113.0527,45195000,5.08905852417303e-07
"37","Zhanjiang",22,22,0,21.1619,110.2137,7332000,3.00054555373704e-06
"38","Zhaoqing",19,18,1,23.0249,112.2754,4151700,4.57643856733386e-06
"39","Meizhou",16,16,0,24.172,116.0719,4340800,3.68595650571323e-06
"40","Maoming",14,14,0,21.3946,110.5533,6080800,2.30232864096829e-06
"41","Yangjiang",14,14,0,21.513,111.5854,2511200,5.57502389295954e-06
"42","Qingyuan",12,12,0,23.4055,113.0322,3834500,3.12948233146434e-06
"43","Shaoguan",10,9,1,24.4839,113.3548,2931500,3.41122292341805e-06
"44","Jieyang",8,8,0,23.3255,116.222,6058900,1.32037168462922e-06
"45","Shanwei",5,5,0,22.471,115.223,3021600,1.65475244903362e-06
"46","Chaozhou",5,5,0,23.4,116.38,2640500,1.89358076121947e-06
"47","Heyuan",4,4,0,23.4437,114.4203,3073500,1.30144786074508e-06
"48","Lanzhou",36,34,2,36.034,103.4955,3705500,9.71528808527864e-06
